language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
volt,6,0.00040617384240454913,639195,1.0783276697155183e-05,0.09662236107026052,0.0161,0.0274,0.0005,0.06723292619185424,5.7599275296390815e-05
brainfuck,12,0.0008123476848090983,175649,2.963214306398847e-06,0.08899053909881537,0.0074,0.0103,0.002,0.031505890957658246,8.80502677021639e-07
xs,29,0.0019631735716219875,2991975,5.047488527909461e-05,0.0869554241781197,0.003,0.0076,0.0002,0.03290656662018595,1.3952337475129944e-06
apacheconf,2,0.00013539128080151638,26841,4.5281006551731835e-07,0.08097238493281772,0.0405,0.0561,0.0405,0.08012798311150693,0.0008444018213107938
jasmin,6,0.00040617384240454913,48811,8.234459263054963e-07,0.07971472582267244,0.0133,0.0297,0.0001,0.07365843541341428,8.78355262204417e-06
raml,7,0.0004738694828053073,139554,2.3542884349764852e-06,0.07915808795845922,0.0113,0.0178,0.0021,0.049541336947910006,6.31527596070692e-05
supercollider,10,0.0006769564040075819,2515884,4.2443187618716624e-05,0.0782324518185068,0.0078,0.0152,0.0019,0.048419065295147154,2.560984433163519e-06
v,8,0.0005415651232060655,19632525,0.00033120244892218583,0.07608048748825884,0.0095,0.0176,0.0004,0.04987747972881853,4.453778116030786e-06
zenscript,1,6.769564040075819e-05,1840418,3.104801591443135e-05,0.07333777244871408,0.07333777244871408,0.07333777244871408,0.07333777244871408,0.07333777244871408,0.07333777244871408
api blueprint,6,0.00040617384240454913,125045,2.1095203100709014e-06,0.07242702134561932,0.0121,0.017,0.0052,0.045442824043405064,0.0006358085515756875
aspectj,8,0.0005415651232060655,199387,3.363676484978263e-06,0.06759175857269263,0.0084,0.0178,0.0024,0.05219867546765287,0.0006231775576019435
slash,5,0.00033847820200379094,960580,1.6205070330264356e-05,0.06447813425640463,0.0129,0.0284,0.0003,0.06374984144975458,9.132844016576178e-06
apl,5,0.00033847820200379094,27172,4.583940650585512e-07,0.06197436185601023,0.0124,0.0267,0.0005,0.06015869956611464,2.326861009748179e-05
forth,22,0.0014893040888166802,1190560,2.008485345562008e-05,0.05755983674572277,0.0026,0.0064,0.0002,0.02548905187334856,1.9054134998612169e-06
faust,3,0.00020308692120227456,1214220,2.0483999767238117e-05,0.056639880785344404,0.0189,0.0327,0.0,0.05663127154767941,3.0585005693350624e-06
cycript,1,6.769564040075819e-05,9417,1.5886563045253852e-07,0.05644194576970104,0.05644194576970104,0.05644194576970104,0.05644194576970104,0.05644194576970104,0.05644194576970104
slice,2,0.00013539128080151638,1735675,2.9280992156282235e-05,0.05641251880409187,0.0282,0.0272,0.0282,0.047436708743814435,0.008975810060277435
openqasm,5,0.00033847820200379094,475406,8.020141649242809e-06,0.05446901314985389,0.0109,0.0156,0.0023,0.037229429097582034,0.0005152913765778174
